customer_key,customer_id,first_name,last_name,gender,date_of_birth,nationality,email,phone
95,CUS0000095,Brandon,Long,M,1981-07-05,Malaysian,jasongomez@example.org,779-274-8016x2456
96,CUS0000096,James,Hudson,M,1963-08-23,Japanese,angela16@example.net,784.499.1216x558
97,CUS0000097,Curtis,Hicks,M,1984-06-04,Malaysian,williamsderrick@example.com,687.729.8259x5269
98,CUS0000098,Katie,Hicks,F,1983-09-24,Singaporean,thomas05@example.com,+1-916-494-0974x99309
99,CUS0000099,Joseph,Griffith,M,2003-02-08,Japanese,rhernandez@example.org,8915307562
100,CUS0000100,Jennifer,Hampton,F,1982-06-27,Singaporean,thorntonapril@example.net,578-565-2785x85497
101,CUS0000101,Diana,Evans,F,1970-08-25,Australian,janet75@example.com,(284)641-9866x524
102,CUS0000102,Tyler,Miller,M,1980-07-01,Indonesian,julie33@example.net,584-221-9933x083
103,CUS0000103,Brett,Rivera,M,1982-07-17,Australian,maldonadoderrick@example.net,(367)573-4540
104,CUS0000104,Kimberly,Sharp,F,1952-12-07,Australian,robertmonroe@example.org,(972)440-0499x1547
105,CUS0000105,Sarah,Mcdonald,F,1963-07-08,Australian,riverajessica@example.net,720-354-9329x668
106,CUS0000106,James,Davis,M,1959-12-18,Indonesian,pmorris@example.org,563-274-5499x045
107,CUS0000107,Michael,Marshall,M,1961-04-06,Australian,tparks@example.com,001-714-859-3327x279
108,CUS0000108,Mia,Durham,F,2001-12-07,Indonesian,kathleenbecker@example.net,587-485-1910
109,CUS0000109,Christopher,Bond,M,1980-06-18,Singaporean,frazierjennifer@example.com,287-907-2867
110,CUS0000110,Michael,Parker,M,1951-11-17,Japanese,ascott@example.net,391.906.5180
111,CUS0000111,Amanda,Ortiz,F,2002-09-21,Singaporean,katiegood@example.net,(456)576-6182x51286
112,CUS0000112,Sandy,Avila,F,1970-09-12,Singaporean,inunez@example.com,+1-363-237-5243
113,CUS0000113,Rhonda,Barnes,F,2002-07-11,Australian,allencarlos@example.net,5792030673
114,CUS0000114,Charles,Holder,M,1966-05-01,Indonesian,barbara53@example.com,(483)864-4089
115,CUS0000115,Kristi,Williams,F,1973-10-31,Japanese,ufloyd@example.net,(862)846-2873x34270
116,CUS0000116,Justin,Anderson,M,1966-12-03,Indonesian,james17@example.com,383-504-6990
117,CUS0000117,Robert,Matthews,M,1996-02-01,Indonesian,timothybooth@example.com,603-831-7393x6385
118,CUS0000118,John,Wong,M,1971-05-20,Singaporean,michael77@example.org,001-875-635-5609x3204
119,CUS0000119,Brittany,Rivera,F,1976-03-29,Australian,victorpena@example.net,247-377-2522x87280
120,CUS0000120,Theresa,Barnett,F,2002-05-29,Singaporean,gutierrezmegan@example.org,920-938-7509
121,CUS0000121,Alexis,Patel,F,1978-05-21,Indonesian,smithjennifer@example.net,608-762-1182x3398
122,CUS0000122,Derek,Sanders,M,1975-10-13,Australian,pstevens@example.net,941.201.6668
123,CUS0000123,Mark,Warner,M,1956-01-09,Australian,pbruce@example.com,001-218-303-3974
124,CUS0000124,Melinda,Ramirez,F,1987-05-08,Australian,whitemelissa@example.org,892.761.4293
125,CUS0000125,Janet,Singh,F,2004-03-09,Australian,masonterri@example.org,763-215-9996
126,CUS0000126,Madison,Bowers,F,1981-01-20,Singaporean,jperez@example.com,(829)761-9431x14262
127,CUS0000127,Isaac,Davis,M,1971-05-17,Malaysian,rward@example.org,(312)267-8886
128,CUS0000128,Brandon,Spencer,M,1991-01-06,Indonesian,michelle04@example.com,(918)439-8262x2444
129,CUS0000129,Arthur,Hamilton,M,1979-01-19,Malaysian,todd15@example.com,279.893.7124
130,CUS0000130,Gary,Oliver,M,2005-02-10,Indonesian,scott69@example.org,759-837-5265x4793
131,CUS0000131,Diana,Hartman,F,1975-03-27,Japanese,frederickjames@example.net,(980)473-7416
132,CUS0000132,Mark,Allen,M,1995-03-21,Indonesian,jennifermccormick@example.org,397.396.8868x058
133,CUS0000133,Randy,Sandoval,M,1974-07-21,Singaporean,deborahwilliams@example.net,+1-565-961-0143x88899
134,CUS0000134,James,Ford,M,1996-08-21,Japanese,michaeljohnson@example.org,961-312-5457x3875
135,CUS0000135,Jeffrey,Horton,M,1972-02-05,Singaporean,evanslisa@example.org,7518238282
136,CUS0000136,Tina,Hall,F,1977-12-16,Indonesian,jacobsandoval@example.com,5936796603
137,CUS0000137,Paul,Stokes,M,1954-08-27,Japanese,lloydamanda@example.com,737-714-7859x69691
138,CUS0000138,Ryan,Williamson,M,2005-10-08,Japanese,samantha91@example.net,(851)834-1252
139,CUS0000139,Kyle,Andrews,M,1979-03-08,Australian,tommymedina@example.net,(282)774-2257
140,CUS0000140,Tiffany,Washington,F,1963-09-03,Malaysian,gmaynard@example.net,667.567.7219x0340
141,CUS0000141,Joshua,Jackson,M,1981-07-07,Malaysian,hdunn@example.net,848-358-0783
142,CUS0000142,Noah,Valdez,M,1967-03-29,Malaysian,nancy07@example.com,(417)513-3959x629
143,CUS0000143,Robin,Trujillo,F,1989-03-10,Singaporean,amanda98@example.org,444-794-8126x04223
144,CUS0000144,Sandra,Juarez,F,1996-05-30,Australian,kburns@example.net,766-271-1684x577
145,CUS0000145,Sheila,Boone,F,1956-09-25,Indonesian,sreid@example.com,686-736-3745
146,CUS0000146,Joshua,Anderson,M,1983-06-04,Australian,patricia00@example.org,+1-670-312-7706x3242
147,CUS0000147,Matthew,Wright,M,1975-09-13,Indonesian,brettgarrett@example.net,001-936-211-0371x293
148,CUS0000148,Adam,Cooper,M,1958-08-08,Japanese,ebenson@example.org,861.411.5542
149,CUS0000149,Margaret,Byrd,F,1955-01-19,Singaporean,bishopfrank@example.com,001-732-869-7311x2196
150,CUS0000150,Emily,Taylor,F,1969-03-30,Indonesian,wrightcarolyn@example.net,+1-540-943-8983x640
151,CUS0000151,James,Allen,M,1993-10-25,Malaysian,ricetiffany@example.com,626-596-5827x10910
152,CUS0000152,Amanda,Brown,F,2004-02-08,Singaporean,ohunter@example.net,566.461.8892x41418
153,CUS0000153,Kimberly,Myers,F,1993-07-23,Japanese,collinssamuel@example.org,6314617990
154,CUS0000154,Barbara,Zimmerman,F,1998-02-17,Japanese,martinstephanie@example.net,342.952.4105x64814
155,CUS0000155,Jesse,Ward,M,1984-05-23,Japanese,michaelscott@example.org,001-913-780-0030
156,CUS0000156,Janet,Hernandez,F,1952-10-19,Indonesian,pwalker@example.com,001-854-319-5180x2380
157,CUS0000157,Shawn,Cline,M,2003-01-13,Malaysian,mark87@example.org,(534)494-9375x973
158,CUS0000158,Aaron,Ortiz,M,1966-04-02,Indonesian,cynthia05@example.org,001-564-813-8367x02410
159,CUS0000159,Michael,Watson,M,2001-04-16,Malaysian,carpenterwilliam@example.net,(719)990-6234x4565
160,CUS0000160,Denise,Jones,F,1964-03-10,Japanese,kimberlyrichards@example.org,527-975-6185
161,CUS0000161,Eric,Baker,M,1958-07-22,Malaysian,mooregina@example.net,001-690-635-2135x680
162,CUS0000162,Robert,Thompson,M,1977-11-30,Malaysian,jhawkins@example.org,571-821-0032
163,CUS0000163,Jacqueline,Mccoy,F,1994-04-07,Malaysian,aguilarjonathan@example.org,9132721510
164,CUS0000164,Christopher,Berry,M,2006-04-24,Indonesian,ycrawford@example.net,(625)932-4472x09993
165,CUS0000165,Jennifer,Pierce,F,1954-07-18,Malaysian,ramirezderrick@example.org,+1-783-880-6578x7598
166,CUS0000166,Devin,Johnson,M,1991-01-11,Indonesian,anthonycochran@example.com,5786593213
167,CUS0000167,Kimberly,Moody,F,2000-07-20,Singaporean,gallagherstacie@example.net,(452)523-9559x0599
168,CUS0000168,Sara,Cochran,F,1983-11-22,Singaporean,gregory01@example.org,593.408.7059
169,CUS0000169,Gina,Thompson,F,2004-12-31,Japanese,brian29@example.net,(718)651-5691
170,CUS0000170,Erica,Daugherty,F,2000-03-25,Japanese,fconner@example.net,828-295-3926x44220
171,CUS0000171,Christopher,Flores,M,2005-06-08,Indonesian,daniellegarcia@example.com,(951)235-5215
172,CUS0000172,Derek,Wright,M,1955-01-04,Singaporean,jonathan10@example.org,(576)426-7658x6179
173,CUS0000173,Jerry,Lloyd,M,1952-09-01,Malaysian,andrew41@example.org,826-421-8159x97062
174,CUS0000174,Anthony,Rivera,M,1963-04-29,Australian,uterry@example.net,+1-944-443-1069
175,CUS0000175,Anthony,Smith,M,1956-05-11,Indonesian,madison97@example.org,803-924-1714
176,CUS0000176,Katherine,Guerrero,F,1956-08-06,Malaysian,ylopez@example.com,(270)447-7434
177,CUS0000177,Paul,Contreras,M,1956-03-24,Malaysian,lindsey69@example.org,+1-906-686-8793
178,CUS0000178,Blake,Orr,M,1999-01-02,Singaporean,shawrachel@example.net,+1-592-417-2233x20616
179,CUS0000179,Roy,Scott,M,1999-11-16,Malaysian,millerangela@example.net,348-370-9986x16229
180,CUS0000180,Kristine,Garcia,F,1969-11-11,Japanese,natalie46@example.net,899.770.2462x9960
181,CUS0000181,Michael,Williams,M,1982-09-25,Singaporean,penny05@example.com,547-913-2475x4691
182,CUS0000182,Daniel,Holloway,M,2000-10-25,Singaporean,xmalone@example.org,521.248.6289x02330
183,CUS0000183,Joyce,Hull,F,1998-05-06,Indonesian,joshuacolon@example.net,(710)435-7972x7985
184,CUS0000184,Ryan,Green,M,2006-12-08,Malaysian,mitchellpaul@example.org,001-233-933-4680
185,CUS0000185,Susan,Holland,F,1991-04-21,Singaporean,walkercharlene@example.com,001-846-365-7437x489
186,CUS0000186,Adrienne,Key,F,2007-10-12,Singaporean,anna99@example.com,517-215-4544x4328
187,CUS0000187,Robert,Lang,M,1991-03-24,Australian,rguerrero@example.org,001-507-944-6660x9935
188,CUS0000188,Terry,Powers,M,1984-12-01,Australian,megan82@example.com,772-548-2513
189,CUS0000189,Patrick,Parker,M,2004-01-10,Singaporean,nathan94@example.com,370-899-9173
190,CUS0000190,Kendra,Gutierrez,F,1960-08-27,Malaysian,victoriacooper@example.net,625.521.7525x007
191,CUS0000191,Paige,Jackson,F,2002-06-02,Singaporean,tracygallagher@example.org,(296)566-6760
192,CUS0000192,Nicholas,Dodson,M,1972-04-27,Indonesian,andrewsmith@example.net,635.442.1689
193,CUS0000193,Austin,Williams,M,1970-03-09,Australian,mluna@example.net,262-457-5326x03323
194,CUS0000194,Barbara,Dawson,F,2004-04-19,Malaysian,brooksdanielle@example.net,+1-609-901-0016x761
195,CUS0000195,Michael,Harris,M,1997-01-22,Malaysian,turnerdorothy@example.net,549.592.6189x14117
196,CUS0000196,Paula,Decker,F,1964-02-13,Japanese,jade42@example.org,+1-373-975-3001
197,CUS0000197,Brittany,Davis,F,1985-03-20,Japanese,cummingscraig@example.com,+1-837-344-7012x0455
198,CUS0000198,Anna,Chang,F,1953-07-08,Indonesian,christianelizabeth@example.org,857-994-1552x16674
199,CUS0000199,Robert,Banks,M,2004-08-16,Malaysian,danielhorton@example.org,(816)797-9729
200,CUS0000200,Logan,Huffman,M,2007-06-16,Japanese,timothyfreeman@example.com,301.845.0899x358
201,CUS0000201,Mary,Wright,F,1973-12-03,Indonesian,jhernandez@example.net,7025877217
202,CUS0000202,Gary,Ramirez,M,1984-11-21,Japanese,andreagray@example.org,377-997-1775
203,CUS0000203,Nichole,Smith,F,1977-11-06,Malaysian,jjohnson@example.org,799-248-8375
204,CUS0000204,Ruth,Richard,F,1972-12-26,Australian,xmoran@example.net,211.430.5548x851
205,CUS0000205,Johnathan,Underwood,M,2000-12-03,Australian,nrodriguez@example.org,216.337.3516
206,CUS0000206,Raymond,Hayes,M,1995-03-16,Malaysian,tamarasmith@example.net,4863978292
207,CUS0000207,James,Burke,M,1972-04-18,Australian,mbarnes@example.net,001-734-565-4722x69848
208,CUS0000208,Curtis,Weber,M,1970-03-03,Japanese,samantha22@example.net,+1-651-858-7996
209,CUS0000209,Robert,Mills,M,1952-02-12,Malaysian,qthomas@example.org,242.744.2043
210,CUS0000210,Robin,Garcia,F,1996-05-13,Indonesian,juliahoffman@example.org,540.766.6580x04397
211,CUS0000211,Nicole,Payne,F,1991-06-16,Japanese,kimberlybrandt@example.com,621.422.8160x648
212,CUS0000212,Candace,Singleton,F,1950-10-12,Indonesian,steven20@example.org,390-494-7985x15832
213,CUS0000213,Jennifer,Herrera,F,1956-08-26,Japanese,jeffrey35@example.com,(543)298-7801x573
214,CUS0000214,Melanie,Flores,F,2004-07-29,Australian,cruzamber@example.com,5857887704
215,CUS0000215,Kayla,Vaughan,F,1961-10-14,Australian,simsjason@example.net,001-336-213-8612x07501
216,CUS0000216,Cassandra,King,F,1955-03-10,Japanese,rhondarussell@example.com,+1-366-750-6180x9190
217,CUS0000217,Timothy,Rodriguez,M,2003-12-11,Singaporean,catherine47@example.com,(207)428-3268x4245
218,CUS0000218,Barbara,Smith,F,1990-12-30,Australian,fmedina@example.com,653.568.2223
219,CUS0000219,Brian,Lambert,M,1988-12-31,Japanese,yorksarah@example.net,481.541.4139x755
220,CUS0000220,Ariel,Harvey,F,1963-07-25,Australian,todd59@example.net,892-699-5562x0533
221,CUS0000221,Ryan,Taylor,M,2000-04-10,Malaysian,natalie77@example.com,001-347-281-2914x28341
222,CUS0000222,Sarah,Welch,F,2005-09-11,Singaporean,nhammond@example.org,+1-648-487-2563
223,CUS0000223,Julie,Dixon,F,1977-05-25,Japanese,wayne39@example.net,(982)772-2992
224,CUS0000224,Amanda,Juarez,F,1966-03-02,Australian,bakerjim@example.net,385.667.7005
225,CUS0000225,Sandy,Baker,F,1987-06-09,Australian,nicholasgray@example.net,+1-218-446-3865x5779
226,CUS0000226,Jeremiah,Hall,M,1985-05-29,Japanese,jason22@example.com,+1-813-265-1777x392
227,CUS0000227,Dana,Anderson,F,1990-09-14,Singaporean,dennishunt@example.net,(202)642-8699
228,CUS0000228,Travis,Robinson,M,1991-09-02,Malaysian,kdillon@example.org,(592)892-9842x57991
229,CUS0000229,Janice,Rodriguez,F,1964-03-01,Indonesian,mserrano@example.org,(979)490-8811
230,CUS0000230,Steven,Ryan,M,1950-06-23,Malaysian,xboyd@example.org,001-686-937-6599x162
231,CUS0000231,Ralph,Kent,M,1956-02-06,Singaporean,carmen86@example.com,500.798.1806
232,CUS0000232,Jason,Rodriguez,M,1979-05-23,Indonesian,jose86@example.net,(994)663-6887x258
233,CUS0000233,William,Lane,M,2003-01-29,Singaporean,qfitzgerald@example.org,001-837-221-3865x8902
234,CUS0000234,Regina,Morrow,F,1982-06-29,Japanese,qdavis@example.org,(919)906-6984x902
235,CUS0000235,Adam,Jefferson,M,2005-02-06,Australian,james98@example.net,001-739-820-5302x146
236,CUS0000236,Jennifer,Gonzalez,F,1951-06-10,Japanese,calhounandrea@example.net,+1-895-254-3937
237,CUS0000237,Dean,Russell,M,1957-08-22,Australian,gordonmatthew@example.org,248.994.7697x35779
238,CUS0000238,Audrey,Jones,F,1993-07-07,Australian,ericahall@example.com,(958)780-4341x65182
239,CUS0000239,Hayden,Shannon,M,1968-09-14,Singaporean,staceyvega@example.org,333.334.3333x9521
240,CUS0000240,Michael,Alvarado,M,1992-03-01,Indonesian,duranamber@example.org,459.257.9472x8463
241,CUS0000241,Kelly,Henderson,F,1987-03-12,Singaporean,shawphillip@example.net,001-727-618-7500x36915
242,CUS0000242,Cody,Baker,M,1968-09-23,Japanese,vmullen@example.com,(976)436-5564
243,CUS0000243,Laura,Krause,F,1997-01-28,Indonesian,lisale@example.org,+1-866-932-2702
244,CUS0000244,Chad,Barry,M,1993-04-23,Indonesian,kristen44@example.net,001-306-912-0347
245,CUS0000245,Natasha,Green,F,1974-11-30,Singaporean,maurice61@example.com,+1-893-699-8245x58771
246,CUS0000246,Julie,Frye,F,1961-10-19,Japanese,robert99@example.com,812-653-5544
247,CUS0000247,Stacy,Norman,F,1975-02-09,Australian,lgutierrez@example.org,(334)913-2611
248,CUS0000248,Kimberly,Johnson,F,1977-05-30,Japanese,garciachristine@example.org,+1-764-733-4722x8200
249,CUS0000249,Sharon,Mcdonald,F,1987-03-08,Singaporean,amy28@example.org,001-997-596-8845
250,CUS0000250,Regina,Ramos,F,1975-04-15,Australian,tgreen@example.org,9826547807
251,CUS0000251,Alexa,Jordan,F,1970-04-30,Singaporean,laurakelley@example.org,(686)663-2663x41638
252,CUS0000252,Mariah,Patel,F,1968-09-08,Japanese,elopez@example.org,(541)779-7497
253,CUS0000253,Alicia,Williams,F,1986-10-19,Singaporean,lopezcurtis@example.com,(770)831-2073
254,CUS0000254,Emily,Lloyd,F,1975-09-02,Australian,cterry@example.com,520-646-1872
255,CUS0000255,Robert,Clayton,M,1958-09-11,Malaysian,paulproctor@example.org,001-303-671-8376x4520
256,CUS0000256,John,Evans,M,1974-12-03,Malaysian,boyerjeff@example.org,565.202.4916
257,CUS0000257,Tracy,Perkins,F,1997-05-26,Malaysian,jbarker@example.com,001-413-927-1950x05281
258,CUS0000258,David,Holden,M,2004-01-21,Singaporean,linda73@example.org,001-565-424-0778x487
259,CUS0000259,Joshua,Morris,M,1982-04-09,Singaporean,mikayla98@example.org,282-874-4857
260,CUS0000260,Morgan,Andrade,F,1992-07-26,Singaporean,kimberly35@example.net,686-738-7829
261,CUS0000261,Jason,Morris,M,1956-12-11,Indonesian,williamssharon@example.org,9316731096
262,CUS0000262,Amber,Walker,F,1999-03-31,Australian,smithsamantha@example.net,317.605.8650x9480
263,CUS0000263,Angela,Lewis,F,1985-09-29,Japanese,garciajerry@example.com,338.739.2886
264,CUS0000264,Megan,Park,F,1979-06-17,Australian,jacksonhenry@example.com,552.589.7558x55665
265,CUS0000265,James,Pierce,M,2001-01-23,Singaporean,michael77@example.com,6045908240
266,CUS0000266,Cindy,Edwards,F,2002-11-24,Australian,samantha88@example.net,001-721-507-5224
267,CUS0000267,David,Shepherd,M,1956-08-25,Japanese,ncarroll@example.net,257-827-9194
268,CUS0000268,Angela,Brown,F,2002-11-08,Australian,michael66@example.org,001-539-406-0480x58925
