customer_key,customer_id,first_name,last_name,gender,date_of_birth,nationality,email,phone,eff_start_date,eff_end_date,is_current,created_at,updated_at
45,CUS0000040,Justin,Robinson,M,1997-12-31,Malaysian,justin.robinson@gmail.com,452-991-2419,2021-06-14,,1,2021-06-14 17:44:45,2022-10-08 12:07:29
46,CUS0000041,Megan,Rubio,F,1977-05-23,Singaporean,megan.rubio@yahoo.com,319-314-9190,2022-02-19,,1,2022-02-19 10:55:08,2022-02-19 10:55:08
47,CUS0000042,Jeffrey,Wood,M,1984-10-30,British,jeffrey.wood@outlook.com,506-716-5726,2021-10-09,,1,2021-10-09 13:56:49,2021-10-09 13:56:49
48,CUS0000043,Kelly,Santos,F,1992-04-24,Australian,kelly.santos@outlook.com,877-694-5314,2023-04-10,,1,2023-04-10 17:52:06,2024-12-14 06:12:21
49,CUS0000044,Nicole,Hudson,F,1995-11-14,Thai,nicole.hudson@gmail.com,650-752-7354,2022-02-14,2022-11-23,0,2022-02-14 22:47:00,2022-11-23 12:18:45
50,CUS0000044,Nicole,Hudson,F,1995-11-14,Thai,nicole37@outlook.com,480-831-3678,2022-11-24,,1,2022-11-24 00:23:57,2022-11-24 00:23:57
51,CUS0000045,Peter,Vaughn,M,1994-05-10,Thai,peter.vaughn@gmail.com,770-143-6349,2022-03-08,,1,2022-03-08 22:52:41,2023-01-25 15:28:35
52,CUS0000046,Kiara,Coleman,F,2001-02-28,Japanese,kiara.coleman@gmail.com,855-744-4313,2022-01-26,,1,2022-01-26 13:10:54,2025-10-15 09:48:53
53,CUS0000047,Joshua,Gill,M,1962-12-31,Malaysian,joshua.gill@outlook.com,337-498-9413,2022-01-11,,1,2022-01-11 02:59:43,2022-01-11 02:59:43
54,CUS0000048,Isaac,Turner,M,1998-07-31,Japanese,isaac.turner@outlook.com,824-008-4271,2023-04-03,,1,2023-04-03 20:35:45,2024-05-23 10:38:53
55,CUS0000049,Diane,Mendoza,F,1973-08-02,Emirati,diane.mendoza@outlook.com,204-711-6719,2022-09-26,,1,2022-09-26 19:59:09,2023-04-03 11:03:28
56,CUS0000050,Brittany,Shepherd,F,1971-01-28,Japanese,brittany.shepherd@gmail.com,131-869-9938,2022-03-17,2023-01-24,0,2022-03-17 14:20:39,2023-01-24 21:21:59
57,CUS0000050,Brittany,Shepherd,F,1971-01-28,Japanese,brittany30@hotmail.com,649-909-1334,2023-01-25,,1,2023-01-25 18:03:01,2024-07-14 20:55:03
58,CUS0000051,Mary,Moore,F,1962-03-25,Indonesian,mary.moore@gmail.com,812-067-9740,2021-11-21,2022-10-19,0,2021-11-21 21:15:31,2022-10-19 11:34:52
59,CUS0000051,Mary,Moore,F,1962-03-25,Indonesian,mary84@yahoo.com,713-493-6183,2022-10-20,,1,2022-10-20 00:04:41,2024-11-14 20:24:38
60,CUS0000052,Maria,Kerr,F,2006-08-27,Malaysian,maria.kerr@gmail.com,210-249-9471,2022-05-25,,1,2022-05-25 04:25:31,2022-08-14 05:27:30
61,CUS0000053,Melissa,Bender,F,1984-06-16,Australian,melissa.bender@yahoo.com,877-190-6594,2021-06-15,,1,2021-06-15 22:36:38,2024-08-04 22:43:59
62,CUS0000054,Tonya,Huff,F,1989-07-17,Malaysian,tonya.huff@yahoo.com,904-902-7874,2021-10-13,,1,2021-10-13 10:43:12,2026-04-30 23:31:13
63,CUS0000055,Mark,Vasquez,M,1956-08-10,British,mark.vasquez@gmail.com,756-551-2567,2022-01-04,,1,2022-01-04 14:28:28,2026-05-25 07:04:17
64,CUS0000056,Robin,Pierce,F,1981-05-08,Australian,robin.pierce@outlook.com,154-516-8087,2022-04-11,,1,2022-04-11 05:59:47,2024-06-02 09:20:41
65,CUS0000057,Joseph,Dean,M,1984-04-28,Emirati,joseph.dean@yahoo.com,703-482-4771,2021-06-17,,1,2021-06-17 06:55:29,2023-06-03 14:05:47
66,CUS0000058,Rebecca,Mckinney,F,1971-07-19,Australian,rebecca.mckinney@yahoo.com,808-613-1712,2022-06-17,2023-06-29,0,2022-06-17 06:32:05,2023-06-29 06:12:07
67,CUS0000058,Rebecca,Mckinney,F,1971-07-19,Australian,rebecca18@outlook.com,467-737-8263,2023-06-30,,1,2023-06-30 01:58:50,2025-01-20 02:25:43
68,CUS0000059,Tammy,Romero,F,1959-09-09,British,tammy.romero@outlook.com,146-584-0449,2022-08-19,,1,2022-08-19 21:59:36,2022-08-19 21:59:36
69,CUS0000060,Katherine,Hernandez,F,1987-01-19,Malaysian,katherine.hernandez@outlook.com,755-886-7533,2022-08-13,2024-04-28,0,2022-08-13 19:00:38,2024-04-28 05:25:22
70,CUS0000060,Katherine,Hernandez,F,1987-01-19,Malaysian,katherine65@gmail.com,057-662-7028,2024-04-29,,1,2024-04-29 06:17:59,2025-03-16 20:53:29
71,CUS0000061,Traci,Rivera,F,1957-03-25,Australian,traci.rivera@outlook.com,718-702-6217,2023-01-23,2024-10-10,0,2023-01-23 04:14:48,2024-10-10 23:38:32
72,CUS0000061,Traci,Rivera,F,1957-03-25,Australian,traci78@yahoo.com,615-865-7809,2024-10-11,,1,2024-10-11 04:42:51,2024-10-11 04:42:51
73,CUS0000062,Andrea,Welch,F,1969-12-15,British,andrea.welch@gmail.com,316-117-2400,2022-02-01,,1,2022-02-01 06:04:41,2025-07-31 20:25:21
74,CUS0000063,Elaine,Brooks,F,1960-04-22,Singaporean,elaine.brooks@outlook.com,386-922-2196,2022-09-19,,1,2022-09-19 09:39:01,2024-07-18 20:34:03
75,CUS0000064,Kathleen,Aguilar,F,1966-03-15,Japanese,kathleen.aguilar@yahoo.com,747-407-4821,2022-05-04,,1,2022-05-04 01:55:16,2024-06-18 04:10:26
76,CUS0000065,Edwin,Hayden,M,1997-05-17,Japanese,edwin.hayden@hotmail.com,474-367-1369,2022-02-28,,1,2022-02-28 00:40:30,2022-02-28 00:40:30
77,CUS0000066,Elizabeth,Lyons,F,1951-11-23,Australian,elizabeth.lyons@hotmail.com,640-909-7439,2023-02-07,,1,2023-02-07 23:38:14,2024-11-27 09:17:39
78,CUS0000067,Mallory,Oliver,F,1996-07-09,Emirati,mallory.oliver@hotmail.com,210-470-9521,2023-05-02,,1,2023-05-02 00:14:38,2024-04-13 15:33:01
79,CUS0000068,Paul,Thompson,M,1959-05-24,Japanese,paul.thompson@outlook.com,858-842-4745,2023-02-09,,1,2023-02-09 13:24:25,2024-06-04 10:33:07
80,CUS0000069,Tonya,Taylor,F,1965-10-02,Australian,tonya.taylor@yahoo.com,685-160-4817,2022-03-08,,1,2022-03-08 05:45:42,2022-03-08 05:45:42
81,CUS0000070,Nicole,Baker,F,1976-04-30,Singaporean,nicole.baker@hotmail.com,513-709-8593,2022-10-11,,1,2022-10-11 06:25:54,2023-11-13 01:12:12
82,CUS0000071,Samantha,Blankenship,F,1970-12-18,Emirati,samantha.blankenship@hotmail.com,612-004-7113,2023-04-15,,1,2023-04-15 19:02:25,2023-04-26 22:45:27
83,CUS0000072,James,Watson,M,2000-12-20,British,james.watson@yahoo.com,869-261-7964,2021-06-20,,1,2021-06-20 00:27:19,2024-05-15 13:43:58
84,CUS0000073,Claudia,Wallace,F,1966-06-20,Indonesian,claudia.wallace@yahoo.com,515-850-6431,2023-03-15,,1,2023-03-15 09:07:59,2023-03-15 09:07:59
85,CUS0000074,Jesse,Bates,M,1994-01-25,Emirati,jesse.bates@outlook.com,900-532-9318,2021-11-02,,1,2021-11-02 15:08:13,2025-04-09 11:59:59
86,CUS0000075,Robin,Hall,F,2003-02-05,Emirati,robin.hall@yahoo.com,290-422-8421,2022-10-21,,1,2022-10-21 18:27:36,2024-04-03 23:41:20
87,CUS0000076,Adrian,Tyler,M,1966-08-04,Japanese,adrian.tyler@hotmail.com,950-240-2681,2022-12-26,,1,2022-12-26 17:50:42,2022-12-26 17:50:42
88,CUS0000077,John,Strickland,M,1985-04-29,Japanese,john.strickland@yahoo.com,917-839-0847,2022-10-07,,1,2022-10-07 06:04:50,2025-10-17 19:45:52
89,CUS0000078,Zachary,Boone,M,1979-05-30,Malaysian,zachary.boone@yahoo.com,177-115-9212,2021-12-25,,1,2021-12-25 11:53:32,2025-12-10 04:58:36
90,CUS0000079,Kevin,Joseph,M,1976-04-27,Singaporean,kevin.joseph@hotmail.com,984-789-6118,2022-12-06,,1,2022-12-06 10:15:13,2025-04-05 10:42:41
91,CUS0000080,Jesse,Perez,M,1973-06-19,Australian,jesse.perez@hotmail.com,766-156-5452,2022-11-10,,1,2022-11-10 23:48:57,2022-12-20 14:34:49
92,CUS0000081,Anna,Miller,F,1979-10-16,Emirati,anna.miller@gmail.com,152-809-8851,2022-04-10,,1,2022-04-10 17:28:08,2022-04-10 17:28:08
93,CUS0000082,Shelly,Pugh,F,1979-03-08,British,shelly.pugh@yahoo.com,049-451-9832,2022-10-18,,1,2022-10-18 21:10:52,2022-10-18 21:10:52
94,CUS0000083,Courtney,Rodriguez,F,2007-12-05,Indonesian,courtney.rodriguez@hotmail.com,851-493-6899,2022-11-01,,1,2022-11-01 08:59:01,2025-02-06 20:12:14
95,CUS0000084,Alexander,Hickman,M,2006-11-05,Emirati,alexander.hickman@yahoo.com,402-445-5022,2022-08-08,,1,2022-08-08 09:20:51,2024-10-22 13:10:36
96,CUS0000085,Benjamin,Figueroa,M,1952-06-26,Singaporean,benjamin.figueroa@hotmail.com,183-667-5254,2022-12-07,,1,2022-12-07 13:55:47,2023-03-19 08:29:44
97,CUS0000086,Teresa,Carlson,F,1953-12-24,British,teresa.carlson@outlook.com,229-014-7679,2022-05-04,,1,2022-05-04 14:13:29,2024-06-18 14:22:14
98,CUS0000087,Cindy,Hunt,F,1973-11-21,British,cindy.hunt@outlook.com,614-978-4036,2022-09-03,,1,2022-09-03 14:42:46,2025-09-11 01:31:34
99,CUS0000088,Dan,Dougherty,M,2002-08-14,Thai,dan.dougherty@yahoo.com,244-510-7622,2022-03-17,,1,2022-03-17 09:44:43,2025-11-10 20:15:43
100,CUS0000089,David,Hansen,M,1995-11-11,Indonesian,david.hansen@yahoo.com,516-060-7159,2022-04-24,,1,2022-04-24 22:14:05,2022-04-24 22:14:05
101,CUS0000090,Jared,Bowman,M,1970-02-06,Australian,jared.bowman@yahoo.com,160-529-7516,2023-03-12,,1,2023-03-12 05:49:16,2023-03-12 05:49:16
102,CUS0000091,David,Chapman,M,1986-01-21,Emirati,david.chapman@outlook.com,164-535-2181,2022-07-12,,1,2022-07-12 22:15:15,2022-07-12 22:15:15
103,CUS0000092,Cory,Parsons,M,1974-04-17,Malaysian,cory.parsons@outlook.com,231-243-2921,2021-10-10,,1,2021-10-10 05:50:32,2021-10-10 05:50:32
104,CUS0000093,Lori,Marshall,F,1988-10-05,British,lori.marshall@hotmail.com,979-955-2717,2022-05-04,,1,2022-05-04 03:53:38,2022-05-04 03:53:38
105,CUS0000094,Eric,Hill,M,1954-03-23,Singaporean,eric.hill@outlook.com,581-477-0054,2021-07-24,,1,2021-07-24 06:31:38,2022-03-28 07:57:48
106,CUS0000095,Lucas,Hunter,M,1981-11-20,Thai,lucas.hunter@hotmail.com,980-793-5978,2021-09-20,,1,2021-09-20 21:06:07,2021-09-20 21:06:07
107,CUS0000096,Joanna,Shepherd,F,2007-05-21,Indonesian,joanna.shepherd@hotmail.com,518-203-7788,2022-09-11,,1,2022-09-11 15:48:12,2022-09-11 15:48:12
108,CUS0000097,Helen,Hardin,F,1976-10-06,Emirati,helen.hardin@yahoo.com,659-051-5186,2022-01-01,,1,2022-01-01 09:20:28,2025-08-25 11:56:23
109,CUS0000098,Sarah,Brandt,F,1991-06-01,Emirati,sarah.brandt@hotmail.com,251-925-4629,2022-11-27,,1,2022-11-27 16:51:36,2024-05-29 16:47:19
110,CUS0000099,Kristin,Schneider,F,1972-10-02,Australian,kristin.schneider@gmail.com,281-685-0542,2021-11-08,,1,2021-11-08 19:17:01,2026-01-22 21:58:55
111,CUS0000100,Katelyn,Perez,F,1959-10-06,British,katelyn.perez@outlook.com,214-188-8059,2021-09-04,2023-01-29,0,2021-09-04 15:22:52,2023-01-29 10:09:20
112,CUS0000100,Katelyn,Perez,F,1959-10-06,British,katelyn37@outlook.com,229-270-6537,2023-01-30,,1,2023-01-30 23:21:24,2023-01-30 23:21:24
113,CUS0000101,Lisa,Goodwin,F,2003-09-27,Thai,lisa.goodwin@outlook.com,738-347-3597,2022-05-19,,1,2022-05-19 11:58:30,2023-12-05 11:22:56
114,CUS0000102,Richard,Shaw,M,1978-11-21,Australian,richard.shaw@gmail.com,239-240-7581,2022-11-29,,1,2022-11-29 23:56:10,2026-01-09 21:11:12
115,CUS0000103,Dustin,Hines,M,1968-12-18,Emirati,dustin.hines@hotmail.com,782-613-7506,2021-07-06,,1,2021-07-06 22:00:04,2021-07-06 22:00:04
116,CUS0000104,Kathryn,Young,F,1955-12-15,Australian,kathryn.young@hotmail.com,530-515-2204,2023-05-08,,1,2023-05-08 22:20:37,2025-06-01 23:06:45
117,CUS0000105,Sandra,Blake,F,1982-04-28,Thai,sandra.blake@hotmail.com,790-104-3289,2022-07-09,,1,2022-07-09 01:18:01,2024-06-28 13:32:43
118,CUS0000106,Paula,Young,F,1958-09-10,Japanese,paula.young@outlook.com,036-971-1798,2021-06-07,,1,2021-06-07 07:48:21,2021-06-07 07:48:21
119,CUS0000107,Jose,Allen,M,1960-03-03,Thai,jose.allen@gmail.com,460-953-9621,2022-07-06,,1,2022-07-06 20:31:12,2026-05-19 04:17:16
120,CUS0000108,Troy,Stephens,M,2003-12-01,Australian,troy.stephens@yahoo.com,880-670-6540,2022-02-27,,1,2022-02-27 18:30:52,2022-02-27 18:30:52
121,CUS0000109,Andrea,Allen,F,1995-02-12,Singaporean,andrea.allen@yahoo.com,195-205-8527,2022-11-17,,1,2022-11-17 22:57:51,2024-07-28 21:06:48
122,CUS0000110,Clarence,Taylor,M,1999-02-16,Malaysian,clarence.taylor@outlook.com,704-303-0548,2022-03-31,2022-11-21,0,2022-03-31 00:40:23,2022-11-21 02:25:40
123,CUS0000110,Clarence,Taylor,M,1999-02-16,Malaysian,clarence91@hotmail.com,034-505-4156,2022-11-22,,1,2022-11-22 09:57:36,2023-08-07 03:32:55
124,CUS0000111,Steve,Paul,M,1976-09-17,Indonesian,steve.paul@outlook.com,527-758-4161,2022-04-25,,1,2022-04-25 01:23:13,2023-05-07 09:40:55
125,CUS0000112,Christopher,Carter,M,1957-05-20,Japanese,christopher.carter@hotmail.com,154-479-6275,2022-05-08,,1,2022-05-08 17:50:09,2022-05-08 17:50:09
126,CUS0000113,Monica,Buck,F,1992-03-29,Singaporean,monica.buck@gmail.com,640-165-8202,2023-03-16,,1,2023-03-16 07:21:09,2024-11-27 23:45:55
127,CUS0000114,Richard,Johnson,M,1954-12-23,Australian,richard.johnson@gmail.com,355-690-9275,2022-03-10,,1,2022-03-10 04:05:58,2025-07-12 13:37:09
128,CUS0000115,Billy,Taylor,M,1975-05-16,British,billy.taylor@hotmail.com,654-310-2786,2023-05-05,,1,2023-05-05 10:49:25,2023-05-05 10:49:25
129,CUS0000116,Autumn,Hampton,F,1998-04-23,Japanese,autumn.hampton@gmail.com,739-473-1217,2021-10-07,,1,2021-10-07 21:42:57,2026-01-16 07:09:59
130,CUS0000117,Zachary,Cochran,M,2007-12-09,Australian,zachary.cochran@outlook.com,551-884-4225,2022-06-25,,1,2022-06-25 13:20:05,2022-06-25 13:20:05
131,CUS0000118,Bryan,Harris,M,1959-11-07,Singaporean,bryan.harris@yahoo.com,370-589-5782,2022-09-13,2024-06-15,0,2022-09-13 21:32:20,2024-06-15 04:16:28
132,CUS0000118,Bryan,Harris,M,1959-11-07,Singaporean,bryan47@gmail.com,786-691-2517,2024-06-16,,1,2024-06-16 11:06:07,2025-10-10 07:40:33
133,CUS0000119,John,Holmes,M,1959-02-18,Japanese,john.holmes@outlook.com,892-268-0182,2022-01-17,,1,2022-01-17 13:46:32,2025-11-24 17:03:21
134,CUS0000120,Frank,Fletcher,M,1973-12-12,Japanese,frank.fletcher@yahoo.com,841-438-4249,2022-07-14,,1,2022-07-14 04:12:49,2026-03-01 12:33:34
135,CUS0000121,Martin,Vargas,M,1989-11-30,Japanese,martin.vargas@yahoo.com,229-959-0010,2022-10-06,2023-09-20,0,2022-10-06 20:45:34,2023-09-20 17:26:33
136,CUS0000121,Martin,Vargas,M,1989-11-30,Japanese,martin82@outlook.com,396-907-8447,2023-09-21,,1,2023-09-21 01:23:45,2025-05-22 22:09:48
137,CUS0000122,Danielle,Aguirre,F,1978-01-13,Singaporean,danielle.aguirre@hotmail.com,471-027-6773,2022-02-14,,1,2022-02-14 14:56:37,2023-08-25 21:42:42
138,CUS0000123,Emily,Higgins,F,2000-05-12,Emirati,emily.higgins@gmail.com,562-588-1537,2021-08-29,,1,2021-08-29 01:04:09,2025-10-11 18:28:06
139,CUS0000124,Danielle,Davis,F,1970-02-24,Japanese,danielle.davis@gmail.com,696-325-9532,2022-06-17,,1,2022-06-17 13:19:33,2025-09-07 18:03:59
140,CUS0000125,Jonathan,Parker,M,1951-12-24,Japanese,jonathan.parker@gmail.com,168-733-9500,2021-12-30,,1,2021-12-30 15:53:28,2021-12-30 15:53:28
141,CUS0000126,Linda,Cameron,F,1996-03-01,Japanese,linda.cameron@yahoo.com,748-016-2456,2022-03-06,,1,2022-03-06 12:08:30,2024-12-07 12:14:51
142,CUS0000127,Anthony,Hoffman,M,1975-01-26,Emirati,anthony.hoffman@outlook.com,841-687-8499,2021-08-26,,1,2021-08-26 22:41:57,2022-03-28 00:45:09
143,CUS0000128,James,Norton,M,1973-06-23,Thai,james.norton@hotmail.com,852-398-6800,2021-06-25,,1,2021-06-25 01:22:44,2021-06-25 01:22:44
144,CUS0000129,Michelle,Brock,F,1985-09-28,Indonesian,michelle.brock@hotmail.com,729-825-9526,2022-09-16,,1,2022-09-16 21:10:38,2022-09-16 21:10:38
145,CUS0000130,Ryan,Wheeler,M,1984-12-03,British,ryan.wheeler@gmail.com,887-947-0551,2022-04-14,,1,2022-04-14 23:53:22,2024-08-07 08:58:32
146,CUS0000131,Robert,Swanson,M,1997-03-22,Australian,robert.swanson@outlook.com,097-499-3097,2021-10-05,,1,2021-10-05 20:46:04,2024-03-28 12:10:11
147,CUS0000132,Nathan,Hampton,M,1976-04-09,Australian,nathan.hampton@outlook.com,230-913-0756,2021-09-20,,1,2021-09-20 04:18:05,2024-03-05 11:27:10
148,CUS0000133,Christina,Shaw,F,1992-01-05,Singaporean,christina.shaw@gmail.com,702-838-5786,2022-01-24,,1,2022-01-24 11:20:27,2023-05-29 23:58:30
149,CUS0000134,Thomas,Peterson,M,1974-07-05,Japanese,thomas.peterson@gmail.com,497-334-8434,2023-01-14,,1,2023-01-14 05:41:00,2023-01-14 05:41:00
150,CUS0000135,Michael,Vaughn,M,1983-09-05,Emirati,michael.vaughn@gmail.com,575-844-1986,2023-04-21,,1,2023-04-21 03:46:25,2023-04-21 03:46:25
151,CUS0000136,Sabrina,Blevins,F,2005-02-25,Japanese,sabrina.blevins@hotmail.com,240-415-7473,2021-10-29,,1,2021-10-29 20:25:49,2023-03-12 10:14:41
152,CUS0000137,Denise,Hoffman,F,1968-11-19,Malaysian,denise.hoffman@hotmail.com,219-933-0833,2021-07-05,,1,2021-07-05 10:24:36,2025-09-10 15:52:07
153,CUS0000138,Gary,Kennedy,M,1996-10-03,Singaporean,gary.kennedy@outlook.com,208-267-7345,2022-01-02,,1,2022-01-02 21:06:59,2023-11-29 11:51:26
154,CUS0000139,Susan,Davis,F,1989-06-21,Indonesian,susan.davis@outlook.com,380-262-0672,2023-05-23,,1,2023-05-23 13:48:45,2026-02-18 17:46:34
155,CUS0000140,Shawn,Smith,M,1989-01-18,Emirati,shawn.smith@hotmail.com,915-478-8728,2022-05-24,,1,2022-05-24 09:39:34,2025-06-09 08:28:45
