driver_id,driver_name,gender,license_no,license_type,languages,rating,total_trips,is_active,joined_date,created_at,updated_at
DRV00014,Makayla Hale,F,SIM-1114893643,B1,Indonesian,3.8,1763,1,2023-12-25,2023-12-27 15:11:52,2025-02-01 01:32:38
DRV00015,Zachary Ramirez,M,SIM-5378383064,B2,Indonesian; English; Mandarin,4.3,619,1,2021-05-29,2021-05-31 00:36:37,2021-05-31 00:36:37
DRV00016,Megan Fisher,F,SIM-4365370565,B1,Indonesian; English; Japanese,4.8,2594,1,2021-11-13,2021-11-16 12:40:49,2022-12-09 18:14:37
DRV00017,Edgar Bruce,M,SIM-1373433734,B2,Indonesian; English; Japanese,4.0,577,1,2024-10-08,2024-10-08 07:06:38,2024-10-08 07:06:38
DRV00018,Kathleen Lopez,F,SIM-3760926030,B2,Indonesian; English,3.5,1709,1,2023-11-28,2023-12-01 09:50:31,2023-12-01 09:50:31
DRV00019,Cathy Cole,F,SIM-5112532870,B1,Indonesian; English; Japanese,4.4,1242,1,2022-08-09,2022-08-11 10:45:53,2026-04-08 12:05:04
DRV00020,Sara Mercer,F,SIM-7210141561,A,Indonesian,3.6,2046,1,2024-01-19,2024-01-19 11:50:58,2024-01-19 11:50:58
DRV00021,Patricia Parker,F,SIM-6107358735,B1,Indonesian; English,4.2,1009,1,2026-03-04,2026-03-06 04:47:36,2026-05-02 00:22:19
DRV00022,Jennifer Cain,F,SIM-6060710431,B1,Indonesian; English,4.8,1700,1,2024-06-30,2024-06-30 04:23:40,2025-07-12 14:45:48
DRV00023,Tyler Jensen,M,SIM-4544091031,A,Indonesian; English; Japanese,3.7,1485,1,2024-04-13,2024-04-16 18:35:53,2024-04-16 18:35:53
DRV00024,Troy Hughes,M,SIM-4672720429,A,Indonesian; English; Japanese,3.9,1836,1,2025-06-10,2025-06-10 14:50:13,2025-06-10 14:50:13
DRV00025,Julia Bowers,F,SIM-9183623610,B1,Indonesian; English; Japanese,4.9,2016,1,2023-05-29,2023-05-29 12:12:08,2023-05-29 12:12:08
DRV00026,Veronica Stephenson,F,SIM-1491316772,A,Indonesian; English,3.5,2149,0,2025-06-30,2025-07-03 19:32:32,2025-11-07 12:28:07
DRV00027,Manuel Craig,M,SIM-8144494544,A,Indonesian,4.6,962,1,2023-05-23,2023-05-26 00:31:28,2023-05-26 00:31:28
DRV00028,David Campbell,M,SIM-9351643883,B2,Indonesian; English; Japanese,4.5,469,1,2023-02-03,2023-02-05 06:58:38,2024-07-04 21:13:25
DRV00029,Ashley Wells DVM,F,SIM-7504310399,B2,Indonesian,3.2,1245,0,2022-04-03,2022-04-04 12:28:09,2023-07-05 16:29:26
DRV00030,Cassandra Morrison,F,SIM-0199530552,B1,Indonesian; English,4.2,129,0,2023-01-19,2023-01-21 00:47:26,2024-05-31 23:59:49
DRV00031,Mrs. Monique Sloan PhD,F,SIM-5652941307,B1,Indonesian; English; Japanese,3.3,943,1,2021-10-10,2021-10-10 20:40:53,2021-10-10 20:40:53
DRV00032,Rebecca Beck,F,SIM-2812646446,B1,Indonesian; English; Japanese,3.9,1633,1,2026-01-22,2026-01-23 15:10:49,2026-04-22 14:40:06
DRV00033,Sophia Gutierrez,F,SIM-0536630626,A,Indonesian; English; Mandarin,4.6,804,1,2021-11-01,2021-11-01 19:07:14,2021-11-01 19:07:14
DRV00034,Stephen Murray,M,SIM-2200826199,A,Indonesian; English; Japanese,4.3,924,1,2022-05-13,2022-05-15 08:55:27,2024-01-09 02:12:21
DRV00035,Gregory Martin,M,SIM-2116734207,A,Indonesian,5.0,591,1,2024-07-21,2024-07-22 10:07:13,2024-09-15 11:56:26
DRV00036,James Strong,M,SIM-9239693729,B1,Indonesian,5.0,688,1,2024-01-28,2024-01-29 15:09:25,2026-01-27 02:11:13
DRV00037,Joseph Reyes,M,SIM-1233080516,B2,Indonesian; English; Japanese,4.7,1368,1,2023-04-03,2023-04-06 18:31:20,2023-04-06 18:31:20
DRV00038,Richard Banks,M,SIM-4936657872,A,Indonesian; English; Mandarin,4.0,516,1,2025-04-10,2025-04-10 14:41:52,2025-04-10 14:41:52
DRV00039,John Griffin DDS,M,SIM-7276112565,B1,Indonesian; English; Japanese,3.4,2898,1,2021-08-06,2021-08-09 04:39:37,2026-03-18 15:23:07
DRV00040,Katrina Williams,F,SIM-2158108620,B1,Indonesian; English; Japanese,3.3,1692,1,2022-03-06,2022-03-09 19:51:27,2022-03-09 19:51:27
DRV00041,Ashley Anderson,F,SIM-7423159425,A,Indonesian,3.7,267,1,2021-12-18,2021-12-18 03:06:00,2024-07-25 01:20:56
DRV00042,Dawn Brandt,F,SIM-7394983550,B2,Indonesian,3.7,2945,1,2023-09-27,2023-09-29 12:15:05,2023-09-29 12:15:05
DRV00043,Mallory Ramirez,F,SIM-5624180578,B2,Indonesian,3.2,967,1,2023-02-03,2023-02-05 00:43:37,2023-02-05 00:43:37
DRV00044,Ashley Kaiser,F,SIM-6546592551,B1,Indonesian; English,4.9,759,1,2025-11-01,2025-11-04 01:32:06,2026-02-22 10:40:39
DRV00045,Tina Phillips,F,SIM-8449500324,B1,Indonesian; English; Japanese,3.9,2450,1,2025-02-28,2025-03-01 20:33:46,2025-08-15 07:05:47
DRV00046,Anthony Freeman,M,SIM-9000095418,B1,Indonesian,4.4,1983,1,2025-01-27,2025-01-30 15:58:49,2025-06-05 16:19:49
DRV00047,Elizabeth Anderson,F,SIM-5972203271,A,Indonesian; English; Mandarin,4.3,863,1,2024-06-08,2024-06-09 10:52:59,2024-09-24 23:41:00
DRV00048,Mary Nelson,F,SIM-4008599798,A,Indonesian; English; Japanese,4.0,2771,1,2021-12-09,2021-12-12 19:09:05,2021-12-12 19:09:05
DRV00049,Aaron Brown,M,SIM-0623201098,B2,Indonesian; English; Mandarin,3.9,1076,1,2025-08-04,2025-08-06 10:14:42,2025-08-06 10:14:42
DRV00050,Joseph Day,M,SIM-6928414078,A,Indonesian; English; Mandarin,4.8,2378,1,2023-01-28,2023-01-29 01:17:52,2023-01-29 01:17:52
DRV00051,Patrick Marshall,M,SIM-7231430154,A,Indonesian; English,4.4,421,1,2021-06-14,2021-06-17 14:54:17,2021-06-17 14:54:17
DRV00052,Michael Jennings,M,SIM-8443180243,A,Indonesian; English; Japanese,4.8,175,1,2021-11-05,2021-11-05 03:50:48,2021-11-05 03:50:48
DRV00053,Gabriel Beard,M,SIM-5936877800,B2,Indonesian; English,4.9,1534,1,2023-02-15,2023-02-15 14:20:02,2023-02-15 14:20:02
DRV00054,Eric Lewis,M,SIM-9919220011,B2,Indonesian,3.4,2451,1,2025-02-12,2025-02-15 14:39:11,2026-03-18 20:07:26
DRV00055,Mercedes Johnson MD,F,SIM-0101953816,B1,Indonesian; English,3.3,1054,1,2022-10-10,2022-10-11 15:11:46,2022-10-11 15:11:46
DRV00056,Andrew Avery,M,SIM-1471213455,B2,Indonesian; English; Mandarin,3.5,1288,1,2022-04-23,2022-04-23 17:08:48,2024-08-07 06:47:44
DRV00057,Timothy Williams,M,SIM-5598749060,B1,Indonesian,4.6,2729,1,2025-01-01,2025-01-04 03:46:45,2025-02-05 22:20:55
DRV00058,John Williams,M,SIM-9319426083,B1,Indonesian; English; Mandarin,4.4,1721,0,2025-02-10,2025-02-11 10:17:29,2025-06-29 15:54:08
DRV00059,April Henry DDS,F,SIM-2795849243,B1,Indonesian; English,3.9,1668,1,2023-11-07,2023-11-09 02:41:15,2023-11-27 05:41:33
DRV00060,Mark Miller,M,SIM-8155166160,A,Indonesian,3.9,1503,1,2023-05-15,2023-05-18 16:50:12,2025-10-01 18:12:05
